"Longitude","Latitude","Year","Month","Country"
5.19538,43.437715,2025,3,"France"
-2.004067,48.491216,2024,1,"France"
5.195091,43.438825,2024,6,"France"
5.223977,43.463132,2024,10,"France"
5.223977,43.463132,2024,10,"France"
5.19505,43.437885,2023,11,"France"
-2.84902,47.5628,2022,5,"France"
5.200922,43.489817,2022,8,"France"
5.06819,43.526414,2022,9,"France"
4.16641,43.50727,2022,11,"France"
4.7,53.1,2021,1,"Netherlands"
5.032886,43.535719,2021,4,"France"
5.032106,43.535372,2021,4,"France"
5.00186,43.48906,2020,5,"France"
12.386013,44.221828,2018,2,"Italy"
-4.49269,48.0897,2014,5,"France"
-4.49269,48.0897,2014,5,"France"
1.01218,45.43244,2012,10,"France"
1.01218,45.43244,2012,10,"France"
1.01218,45.43244,2012,10,"France"
1.01218,45.43244,2012,10,"France"
1.01218,45.43244,2012,10,"France"
-1.2146,45.96088,2011,4,"France"
-1.2835,46.2687,2010,3,"France"
23.579903,38.455162,1970,NA,"Greece"
3.50721,43.2746,1952,11,"France"
30.470278,46.063611,2019,9,"Ukraine"
-3.651625,40.36501,NA,NA,"Spain"
