"Longitude","Latitude","Year","Month","Country"
3.1842,39.938,2020,7,"Spain"
-4.08,43.4358,2018,7,"Spain"
3.2093,42.0525,2017,3,"Spain"
3.1581,42.1181,2017,4,"Spain"
3.1581,42.1181,2017,4,"Spain"
12.2787,37.9245,2017,4,"Italy"
3.2323,41.957,2017,5,"Spain"
2.6655,39.7758,2017,7,"Spain"
3.1656,42.3732,2016,4,"Spain"
3.1135,41.8482,2015,6,"Spain"
-5.3138,36.225,2014,7,"Spain"
-5.3138,36.225,2014,7,"Spain"
9.4564,42.7122,2008,9,"France"
5.352272,43.211503,2025,2,"France"
-2.549253,43.374823,2025,2,"Spain"
-2.84977,36.695645,2025,2,"Spain"
-8.941469,42.464505,2025,2,"Spain"
-9.136246,53.150978,2025,2,"Ireland"
-2.868625,43.432792,2025,3,"Spain"
-5.764399,36.083049,2025,3,"Spain"
-5.76435,36.083008,2025,3,"Spain"
3.205231,42.239874,2025,3,"Spain"
5.391441,43.186079,2025,3,"France"
-8.397383,43.380161,2025,3,"Spain"
5.352117,43.211283,2025,3,"France"
-2.720665,43.424336,2025,3,"Spain"
5.427243,43.205365,2025,3,"France"
5.099967,43.329115,2025,3,"France"
5.370761,43.176849,2025,4,"France"
-8.798699,37.897341,2025,4,"Portugal"
5.372465,43.177661,2025,4,"France"
3.167605,42.440814,2025,4,"France"
3.167605,42.440814,2025,4,"France"
-2.720751,43.424299,2025,4,"Spain"
5.285904,43.280333,2025,4,"France"
-8.791535,37.719516,2025,4,"Portugal"
-8.792396,37.720533,2025,4,"Portugal"
-8.447163,43.377832,2025,4,"Spain"
5.229778,43.198978,2025,4,"France"
5.289194,43.26024,2025,4,"France"
5.289194,43.26024,2025,4,"France"
5.290227,43.260982,2025,4,"France"
5.290227,43.260982,2025,4,"France"
5.290212,43.260945,2025,4,"France"
3.157612,42.40469,2025,4,"Spain"
3.157969,42.404881,2025,4,"Spain"
5.290313,43.260587,2025,4,"France"
5.290313,43.260587,2025,4,"France"
5.290313,43.260587,2025,4,"France"
5.290313,43.260587,2025,4,"France"
5.290313,43.260587,2025,4,"France"
5.290313,43.260587,2025,4,"France"
5.385778,43.175689,2025,4,"France"
5.385778,43.175689,2025,4,"France"
5.385778,43.175689,2025,4,"France"
5.370311,43.176732,2025,4,"France"
5.289684,43.260581,2025,4,"France"
5.370211,43.176738,2025,4,"France"
5.286708,43.264119,2025,4,"France"
5.286708,43.264119,2025,4,"France"
5.393967,43.171305,2025,4,"France"
5.393803,43.171498,2025,4,"France"
5.397987,43.174521,2025,4,"France"
5.370386,43.176684,2025,4,"France"
5.370386,43.176684,2025,4,"France"
5.393827,43.171588,2025,4,"France"
5.370242,43.176716,2025,4,"France"
5.370761,43.176849,2025,4,"France"
5.234914,43.329747,2025,4,"France"
5.337333,43.213731,2025,4,"France"
5.385133,43.188472,2025,4,"France"
5.391769,43.186309,2025,4,"France"
5.290277,43.261068,2025,4,"France"
5.290277,43.261068,2025,4,"France"
5.370255,43.176586,2025,4,"France"
5.393794,43.171472,2025,4,"France"
5.370714,43.176763,2025,4,"France"
5.350958,43.210931,2025,4,"France"
5.350958,43.210931,2025,4,"France"
5.385241,43.188685,2025,4,"France"
-7.807492,37.016742,2025,4,"Portugal"
-7.80831,37.016722,2025,4,"Portugal"
-7.806546,37.014558,2025,4,"Portugal"
-3.787539,43.479662,2025,4,"Spain"
-3.787539,43.479662,2025,4,"Spain"
-3.787539,43.479662,2025,4,"Spain"
-3.787539,43.479662,2025,4,"Spain"
-5.05935,50.146373,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-5.057829,50.147326,2024,1,"United Kingdom of Great Britain and Northern Ireland"
-5.068448,50.142347,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-5.068442,50.142369,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-5.068524,50.142202,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-5.069063,50.141999,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-5.056418,50.147679,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-5.057821,50.147731,2024,2,"United Kingdom of Great Britain and Northern Ireland"
5.230654,43.199653,2024,2,"France"
-9.260117,42.904396,2024,2,"Spain"
-2.033147,48.648142,2024,2,"France"
5.385471,43.188623,2024,2,"France"
-3.003926,43.386531,2024,2,"Spain"
-3.004124,43.386426,2024,2,"Spain"
-5.056418,50.147679,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-5.057821,50.147731,2024,2,"United Kingdom of Great Britain and Northern Ireland"
-5.044075,50.143487,2024,3,"United Kingdom of Great Britain and Northern Ireland"
-2.721078,43.423736,2024,3,"Spain"
-2.721101,43.42403,2024,3,"Spain"
-9.358297,38.687501,2024,3,"Portugal"
-9.361163,38.688317,2024,3,"Portugal"
-5.764354,36.083416,2024,3,"Spain"
-3.003956,43.386377,2024,3,"Spain"
-5.751998,36.07335,2024,3,"Spain"
5.24224,43.331574,2024,3,"France"
3.156703,42.460447,2024,4,"France"
-2.869653,43.433268,2024,4,"Spain"
-9.379025,39.368879,2024,4,"Portugal"
-9.379288,39.369012,2024,4,"Portugal"
3.16817,42.441766,2024,4,"France"
3.16823,42.441572,2024,4,"France"
3.168038,42.44158,2024,4,"France"
