"x","year","month","country"
664011.409139213,2025,3,"France"
Inf,2024,1,"France"
663984.03873839,2024,6,"France"
Inf,2024,10,"France"
Inf,2024,10,"France"
663984.131403017,2023,11,"France"
470430.400071768,2022,5,"France"
Inf,2022,8,"France"
Inf,2022,9,"France"
Inf,2022,11,"France"
Inf,2021,1,"Netherlands"
Inf,2021,4,"France"
Inf,2021,4,"France"
Inf,2020,5,"France"
Inf,2018,2,"Italy"
Inf,2014,5,"France"
Inf,2014,5,"France"
Inf,2012,10,"France"
Inf,2012,10,"France"
Inf,2012,10,"France"
Inf,2012,10,"France"
Inf,2012,10,"France"
Inf,2011,4,"France"
353674.365459211,2010,3,"France"
Inf,1970,NA,"Greece"
528241.715600521,1952,11,"France"
2647002.38015491,2019,9,"Ukraine"
Inf,NA,NA,"Spain"
