"x","year","month","country"
2173194.95409784,2025,3,"France"
5096191.43173778,2024,1,"France"
2173194.95409784,2024,6,"France"
2173194.95409784,2024,10,"France"
2173194.95409784,2024,10,"France"
2173194.95409784,2023,11,"France"
4874596.41906741,2022,5,"France"
2173194.95409784,2022,8,"France"
2173194.95409784,2022,9,"France"
2246235.04143239,2022,11,"France"
5737906.79795611,2021,1,"Netherlands"
2173194.95409784,2021,4,"France"
2173194.95409784,2021,4,"France"
2173194.95409784,2020,5,"France"
23613.861050272,2018,2,"Italy"
4838793.35877387,2014,5,"France"
4838793.35877387,2014,5,"France"
NA,2012,10,"France"
NA,2012,10,"France"
NA,2012,10,"France"
NA,2012,10,"France"
NA,2012,10,"France"
4904075.65870966,2011,4,"France"
4906112.47897325,2010,3,"France"
1510569.0660942,1970,NA,"Greece"
2288631.53757159,1952,11,"France"
NA,2019,9,"Ukraine"
2529089.24548798,NA,NA,"Spain"
