"x","year","month","country"
1428142.76814348,2003,NA,"Isle of Man"
1628390.3785452,1989,8,"United Kingdom of Great Britain and Northern Ireland"
1634223.01961081,1939,NA,"Ireland"
1634223.01961081,1939,NA,"Ireland"
1634223.01961081,1937,NA,"Ireland"
1634223.01961081,1937,NA,"Ireland"
0,2019,NA,"Spain"
0,2018,NA,"Spain"
3388809.01504586,NA,NA,"Norway"
3388809.01504586,NA,NA,"Norway"
3388809.01504586,NA,NA,"Norway"
3388809.01504586,NA,NA,"Norway"
3388809.01504586,NA,NA,"Norway"
3388809.01504586,NA,NA,"Norway"
3388809.01504586,NA,NA,"Norway"
3388809.01504586,NA,NA,"Norway"
3388809.01504586,NA,NA,"Norway"
