"x","year","month","country"
2308405.31294346,2022,7,"France"
2308405.31294346,2022,7,"France"
2308405.31294346,2022,7,"France"
2308405.31294346,2021,8,"France"
2308405.31294346,2021,8,"France"
2308405.31294346,2021,8,"France"
2308405.31294346,2021,8,"France"
2308405.31294346,2021,8,"France"
2308405.31294346,2021,10,"France"
2308405.31294346,2021,11,"France"
2308405.31294346,2020,9,"France"
2308405.31294346,2020,9,"France"
2561938.72997842,NA,NA,"Spain"
2561938.72997842,NA,NA,"Spain"
2561938.72997842,NA,NA,"Spain"
2561938.72997842,NA,NA,"Spain"
2561938.72997842,NA,NA,"Spain"
2318876.90797523,NA,NA,"Spain"
